Title:,"Annual average concentrations of selected determinands of river water quality, by river location: ",,,,,,,,,,,,,,,,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1995,11.71538462,7.742307692,185.4615385,15.61923077,,10.59038462,2.238461538,0.091346154,0.023538462,10.7767572,22.57692308,33.5,13.61111111,0.061538462,0.0375
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1996,10.88076923,7.688461538,195.7307692,27.45384615,,10.71153846,1.634615385,0.035769231,0.017115385,15.1542293,22.92307692,36.96153846,7.166666667,0.065,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1997,11.08125,7.725,194.375,14.575,,10.815,1.50625,0.04875,0.02231875,16.38651538,23.04375,31.625,6.925,0.0528125,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1998,11.425,7.7125,192.5833333,15.89166667,,10.75333333,1.816666667,0.177083333,0.024866667,15.28654138,23.11666667,33.25,6.081818182,0.0655,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1999,11.86666667,7.6875,185.8333333,27.2,,9.814166667,1.725,0.065083333,0.016258333,12.47011784,22.09166667,34.25,6.675,0.053866667,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2000,11.40833333,7.709090909,175.8181818,22.125,,10.81083333,2.081818182,0.079727273,0.019454545,11.90077807,20.86363636,34.36363636,8.291666667,0.065727273,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2001,11.80375,7.61375,179.375,24.4625,29.875,10.5575,1.95,0.049125,0.01475,9.803749051,20.9375,37.5,7.9125,0.051125,0.040625
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2002,12.523,7.507,184.1,13.11,15.7,10.329,1.33,0.0352,0.01262,11.96157027,21.81,41.9,10.24,0.0485,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2003,11.5075,7.415833333,189.4166667,4.875,10,10.40416667,1.416666667,0.02275,0.009108333,11.4220227,22.93333333,46.33333333,9.008333333,0.054166667,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2004,11.825,7.5225,190.6666667,9.583333333,13.83333333,10.6125,1.466666667,0.031333333,0.010783333,13.9278558,23.26666667,,4.675,0.07225,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2005,11.95,7.591666667,204,6.916666667,10,10.29666667,1.105,0.021666667,0.008408333,12.61035592,24.99166667,,6.323333333,0.054333333,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2006,11.8,7.666666667,194.5833333,35.96666667,33.75,10.665,1.453333333,0.041333333,0.009158333,13.25618919,25.325,,9.473333333,0.0295,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2007,11.45833333,7.5725,214.75,15.43333333,14.41666667,10.41416667,1.25,0.029666667,0.00905,13.17130825,23.84166667,38.66666667,6.466666667,0.056833333,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2008,10.95166667,7.5425,211.4416667,11.3,12.66666667,10.90833333,1.283333333,0.031666667,0.010858333,13.36321299,23.11666667,,3.199166667,0.052833333,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2009,13.13916667,7.806666667,233.6833333,23.875,26.08333333,10.5625,1.308333333,0.02575,0.006375,10.03440379,23.53333333,,5.583333333,0.056333333,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2010,12.19333333,7.608333333,207.4166667,31.43916667,30.3,10.66083333,1.866666667,0.053083333,0.012575,9.713332393,22.95833333,,8.7675,0.0625,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,2011,12.59916667,7.546666667,218.95,11.50166667,12.88333333,10.1675,1.416666667,0.035,0.008633333,10.11559426,24.58333333,,6.185,0.066083333,0.025
EA Wales,DEE - IRON BRIDGE                   ,1980,9.323529412,7.1,260.59375,10.390625,9.25,10.04352941,2.441935484,0.161470588,0.0359375,7.412320711,23.159375,58.96875,,0.16175,0.062115385
EA Wales,DEE - IRON BRIDGE                   ,1981,10.78888889,7.296296296,253.8888889,9.159259259,,9.602592593,2.148148148,0.174642857,0.038928571,7.424182955,23.38148148,58.47777778,6.147058824,0.165925926,0.033833333
EA Wales,DEE - IRON BRIDGE                   ,1982,10.96666667,7.52962963,247.5652174,6.340740741,,8.861111111,1.926923077,0.189634146,0.038513514,8.347257879,24.48378378,56.91333333,4.025,0.188513514,0.025
EA Wales,DEE - IRON BRIDGE                   ,1983,10.52142857,7.618518519,282.3703704,13.71428571,,9.200714286,1.857142857,0.193571429,0.044444444,7.470050298,26.85357143,66.14285714,4.722222222,0.262708333,
EA Wales,DEE - IRON BRIDGE                   ,1984,10.64,7.562962963,288.0740741,9.603703704,,9.6264,1.590740741,0.152037037,0.047407407,7.006983449,31.75555556,60.56,23.61333333,0.210740741,0.057
EA Wales,DEE - IRON BRIDGE                   ,1985,10.55263158,7.69047619,281.7619048,10.95238095,,10.26842105,1.835714286,0.268571429,0.05525,6.064537228,33.22380952,59.4,3.833333333,0.220526316,0.033333333
EA Wales,DEE - IRON BRIDGE                   ,1986,6.192857143,7.614285714,310.6428571,17.21428571,,11.15,1.007142857,0.28,0.054642857,8.45224408,32.95714286,,3.908333333,0.24,0.08
EA Wales,DEE - IRON BRIDGE                   ,1987,9.838095238,7.530434783,292.6086957,20.69565217,,10.19,1.686956522,0.200434783,0.048478261,7.312918547,33.04782609,,3.093333333,0.259347826,0.03375
EA Wales,DEE - IRON BRIDGE                   ,1988,12.15833333,7.6,228.52,6.52,,9.86,1.376,0.0744,0.03284,5.980342278,26.044,,,0.219375,
EA Wales,DEE - IRON BRIDGE                   ,1989,11.56666667,7.661538462,279.7692308,11.11538462,,9.586956522,1.532692308,0.076923077,0.039115385,5.896812616,34.46153846,,,0.286923077,
EA Wales,DEE - IRON BRIDGE                   ,1990,12.42413793,7.6,290.03125,6.765625,,10.06321429,1.416071429,0.104545455,0.032212121,9.018180945,33.37333333,,,0.258787879,
EA Wales,DEE - IRON BRIDGE                   ,1991,11.2,7.617857143,297.5,8.139285714,,10.18518519,1.571428571,0.070714286,0.028142857,8.877703223,33.26,,,0.2025,
EA Wales,DEE - IRON BRIDGE                   ,1992,10.52,7.671428571,280.95,5.60625,,10.45555556,1.201923077,0.0734375,0.023425,8.74421344,27.74782609,,,0.19775,
EA Wales,DEE - IRON BRIDGE                   ,1993,10.01,7.652631579,289.8529412,8.682608696,,10.02222222,1.426315789,0.101041667,0.042514286,10.79432549,30.3,,,0.208457143,
EA Wales,DEE - IRON BRIDGE                   ,1994,9.7,7.553846154,229.2777778,19.8125,,10.40769231,1.326923077,0.0685625,0.024736842,9.080901377,,,,0.138210526,
EA Wales,DEE - IRON BRIDGE                   ,1995,10.73076923,7.575,286,8.392857143,,10.35,1.129166667,0.121466667,0.035105263,7.768645865,44.6,,,0.156444444,
EA Wales,DEE - IRON BRIDGE                   ,1996,10.49285714,7.625,268.4090909,4.484375,,10.66666667,1.041666667,0.0979375,0.036045455,14.30227134,,,,0.218954545,
EA Wales,DEE - IRON BRIDGE                   ,1997,10.81666667,7.658333333,267.0833333,10.33333333,,10.38333333,1.241666667,0.065,0.02525,11.04559417,,,,0.223,
EA Wales,DEE - IRON BRIDGE                   ,1998,11.91666667,7.683333333,247.3333333,23.25,,10.35,1.525,0.06875,0.029083333,11.29654653,,,,0.201,
EA Wales,DEE - IRON BRIDGE                   ,1999,11,7.683333333,252.8166667,11.14583333,,10.45833333,1.191666667,0.056666667,0.027416667,9.945832371,,,,0.193083333,
EA Wales,DEE - IRON BRIDGE                   ,2000,10.83333333,7.666666667,259.4166667,15.58333333,,9.816666667,1.708333333,0.075833333,0.029,9.7428562,,,,0.14225,
EA Wales,DEE - IRON BRIDGE                   ,2001,5.96,7.756666667,240.1666667,7.625,,11.04,1.15,0.093333333,0.021166667,8.163332543,,,,0.092666667,
EA Wales,DEE - IRON BRIDGE                   ,2002,12.74,7.64,251.375,7.75,,9.64,1.304166667,0.065833333,0.029,7.809046863,,,,0.136916667,
EA Wales,DEE - IRON BRIDGE                   ,2003,11.88416667,7.715833333,271.1833333,6.083333333,3.604166667,10.24416667,1.020833333,0.061666667,0.025583333,9.045356268,28.50833333,69.08333333,3.355833333,0.09125,
EA Wales,DEE - IRON BRIDGE                   ,2004,11.57666667,7.618333333,232.5416667,10.83333333,6.625,10.37833333,1.083333333,0.067916667,0.022583333,8.798094387,25.5,,2.566666667,0.093666667,0.0325
EA Wales,DEE - IRON BRIDGE                   ,2005,12.21916667,7.713333333,242.6666667,5.25,4.291666667,10.30416667,0.645833333,0.036666667,0.013666667,7.447380232,26.81916667,,2.8825,0.14325,0.027083333
EA Wales,DEE - IRON BRIDGE                   ,2006,11.69166667,7.789166667,258.55,12.75,15.66666667,10.34166667,0.645833333,0.068166667,0.014166667,8.539761078,28.29833333,,3.801666667,0.1135,0.044583333
EA Wales,DEE - IRON BRIDGE                   ,2007,11.00307692,7.840833333,273.3333333,10.72307692,13.5,10.5275,0.841666667,0.055785714,0.018884615,9.022702424,26.28333333,,3.891666667,0.1,0.025
EA Wales,DEE - IRON BRIDGE                   ,2008,11.78333333,7.75,233.6666667,14.09166667,14.41666667,9.840833333,0.941666667,0.055,0.018708333,6.846201718,22.36666667,,3.085,0.092916667,0.025
EA Wales,DEE - IRON BRIDGE                   ,2009,10.01416667,7.571666667,276.8333333,6.5525,10,10.45333333,1.2,0.084666667,0.0227,8.085832551,23.75,,3.6725,0.10575,0.025
EA Wales,DEE - IRON BRIDGE                   ,2010,11.81166667,7.7275,282.4666667,8.82,11.20833333,10.00166667,1.083333333,0.097666667,0.016441667,7.93784447,26.55,,3.508333333,0.105583333,0.025
EA Wales,DEE - IRON BRIDGE                   ,2011,11.31,7.78,215.55,7.515833333,11.025,10.20166667,1.141666667,0.041,0.012483333,6.347987481,19.55833333,,3.33,0.093416667,0.025
EA Wales,TAFF - LLANDAFF NORTH                ,1980,10.63235294,7.805263158,358.7407407,44.82702703,13,9.637142857,2.370588235,0.377631579,0.165590909,6.561466546,21.45294118,99.92727273,,0.193939394,
EA Wales,TAFF - LLANDAFF NORTH                ,1981,11.05357143,7.896551724,405.8333333,48.44827586,,9.846551724,2.034482759,0.233448276,0.0944,6.403102829,16.53103448,110.4294118,,0.195862069,
EA Wales,TAFF - LLANDAFF NORTH                ,1982,12.95588235,7.997058824,403.4,37.08823529,,9.593939394,2.326666667,0.313823529,0.135,6.367454741,17.01176471,111.8647059,,0.235294118,
EA Wales,TAFF - LLANDAFF NORTH                ,1983,10.328125,7.99375,411.8947368,18.125,,10.384375,2.290322581,0.301875,0.0725,6.26227618,17.54375,112.9947368,,0.2028125,
EA Wales,TAFF - LLANDAFF NORTH                ,1984,12.53225806,8.203333333,452,7.866666667,,9.959354839,2.207692308,0.2621875,0.14625,8.4142849,22.20645161,129.8636364,,0.4440625,
EA Wales,TAFF - LLANDAFF NORTH                ,1985,8.044444444,7.877777778,392.8571429,31.54444444,,10.97777778,2.275,0.395555556,0.063,7.297300881,22.92222222,73.33333333,,0.45,
EA Wales,TAFF - LLANDAFF NORTH                ,1986,7.9,7.84,385,18.8,,10.56,2.72,0.582,0.0486,7.236285014,20.075,105.6,,0.238,
EA Wales,TAFF - LLANDAFF NORTH                ,1987,6,7.9,443.3333333,15.33333333,,9.665,5.233333333,0.536666667,0.075666667,7.39571357,26.26666667,126,,0.22,
EA Wales,TAFF - LLANDAFF NORTH                ,1988,5.4,8.02,327,55.5,,10.764,3.3,0.352,0.05075,5.88999943,17.65,93.875,,0.1725,
EA Wales,TAFF - LLANDAFF NORTH                ,1989,12.72222222,8.011111111,456.6666667,24,,8.9,3.433333333,0.189444444,0.171166667,8.539761078,,,,0.392,
EA Wales,TAFF - LLANDAFF NORTH                ,1990,12.375,8,370.4166667,11.20454545,,10.75833333,1.641666667,0.120217391,0.051347826,7.590185601,,,,0.26173913,
EA Wales,TAFF - LLANDAFF NORTH                ,1991,10.875,7.908333333,299.7692308,12.96428571,,10.86666667,1.872727273,0.123875,0.03625,6.645624357,,,,0.1728125,
EA Wales,TAFF - LLANDAFF NORTH                ,1992,11.04545455,7.818181818,263.1875,54.33333333,,10.53636364,1.627272727,0.081066667,0.0346875,7.163213593,,,,0.159071429,
EA Wales,TAFF - LLANDAFF NORTH                ,1993,10.5,7.816666667,293.25,11.83333333,,10.85,1.5375,0.078272727,0.038833333,6.753570775,,,,0.16375,
EA Wales,TAFF - LLANDAFF NORTH                ,1994,10.875,7.808333333,272.5,9.083333333,,10.99166667,1.733333333,0.055833333,0.038333333,5.805118486,,,1,0.118333333,
EA Wales,TAFF - LLANDAFF NORTH                ,1995,10.52,7.918181818,320.8571429,11,,11.11785714,1.281818182,0.079538462,0.0622,5.987427992,,,3.925,0.141142857,
EA Wales,TAFF - LLANDAFF NORTH                ,1996,11.75,7.908333333,299.8333333,8.333333333,,11.50833333,1.654166667,0.0775,0.035916667,6.831070768,,,7.541666667,0.146166667,
EA Wales,TAFF - LLANDAFF NORTH                ,1997,11.98333333,7.975,309.8333333,6.229166667,,11.55,1.770833333,0.080416667,0.035833333,6.683451734,,,5.583333333,0.181333333,
EA Wales,TAFF - LLANDAFF NORTH                ,1998,11.78125,7.91875,257.125,15.109375,,10.88125,1.884375,0.063,0.030333333,6.010456561,,,6.939375,0.0982,
EA Wales,TAFF - LLANDAFF NORTH                ,1999,12.07142857,8.091666667,325.4166667,5.708333333,,11.47692308,1.541666667,0.054583333,0.039583333,6.609642218,,,3.575,0.138916667,
EA Wales,TAFF - LLANDAFF NORTH                ,2000,11.36153846,7.761538462,220.6923077,23.92307692,,10.84615385,2.315384615,0.076538462,0.025692308,5.135098404,,,5.728461538,0.093153846,
EA Wales,TAFF - LLANDAFF NORTH                ,2001,12.57,7.95375,265.4000025,17.375,,10.52375,2.30625,0.1025,0.039375,5.35857091,,,4.60625,0.125625,
EA Wales,TAFF - LLANDAFF NORTH                ,2002,11.52833333,7.7075,277.4166667,8.3125,,10.87333333,1.558333333,0.06625,0.028333333,6.174904164,,,2.886666667,0.086166667,
EA Wales,TAFF - LLANDAFF NORTH                ,2003,12.26916667,8.0225,328.0083342,6.1875,4.25,11.565,1.2125,0.05125,0.028666667,7.827499243,19.64166667,108.8333333,3.745,0.176083333,
EA Wales,TAFF - LLANDAFF NORTH                ,2004,12.4725,7.924166667,296.4916667,12.72916667,9.375,11.37583333,1.516666667,0.051,0.024916667,6.598939838,18.41666667,52,9.263333333,0.07925,0.035833333
EA Wales,TAFF - LLANDAFF NORTH                ,2005,12.19416667,8.088333333,316.0666667,13.58333333,10.16666667,11.855,1.2875,0.096166667,0.021583333,6.361273194,22.525,,7.6,0.092333333,0.03875
EA Wales,TAFF - LLANDAFF NORTH                ,2006,12.76916667,8.261666667,319.5833333,18.04166667,20.58333333,11.22833333,0.828333333,0.033583333,0.01625,6.951011232,18.12916667,,3.466666667,0.07325,0.05375
EA Wales,TAFF - LLANDAFF NORTH                ,2007,12.43076923,8.124615385,337.9230769,3.607692308,10,11.95923077,1.076923077,0.061692308,0.022661538,6.520559809,18.52307692,104.6461538,4.348461538,0.075846154,0.029166667
EA Wales,TAFF - LLANDAFF NORTH                ,2008,11.85,8.0075,316.75,4.733333333,10,11.45333333,1.049583333,0.062808333,0.02065,5.654547072,16.775,,4.971666667,0.073133333,0.025
EA Wales,TAFF - LLANDAFF NORTH                ,2009,11.41583333,7.756666667,323.6666667,6.816666667,10,11.4925,1.395833333,0.040166667,0.01485,6.512951751,17.15833333,,5.034166667,0.075583333,0.025
EA Wales,TAFF - LLANDAFF NORTH                ,2010,11.19583333,7.989166667,383.7333333,2.83,10,11.73583333,1.333333333,0.052833333,0.020308333,7.368404049,22.55833333,,2.2725,0.1055,0.025
EA Wales,TAFF - LLANDAFF NORTH                ,2011,11.78916667,7.976666667,297.675,10.56166667,13.09166667,11.01666667,2.045454545,0.059166667,0.017233333,5.754558967,19.375,,12.13916667,0.064833333,0.059416667
SEPA North,LOCHY - A830 ROAD BRIDGE,1980,9.5,6.458333333,38.58333333,1.425,,11.66833333,,0.010291667,0.005416667,0.415178531,7.416666667,6.041666667,,0.0015,
SEPA North,LOCHY - A830 ROAD BRIDGE,1981,8.833333333,6.325,45.16666667,0.625,,11.81083333,,0.020666667,0.0075,0.362337627,10,6.416666667,,0.001666667,
SEPA North,LOCHY - A830 ROAD BRIDGE,1982,9.08,6.51,43.9,0.33,,11.81,0.8,0.0173,0.0515,0.637714224,7.7,7.5,,0.0016,
SEPA North,LOCHY - A830 ROAD BRIDGE,1983,8.291666667,6.366666667,43.83333333,1.091666667,,11.23166667,0.8375,0.008416667,0.005,0.302619018,8.75,7.708333333,,0.001416667,
SEPA North,LOCHY - A830 ROAD BRIDGE,1984,8.958333333,6.416666667,45.08333333,0.491666667,,11.08833333,0.816666667,0.010958333,0.005,0.298928543,10.5,7.708333333,,0.002090909,
SEPA North,LOCHY - A830 ROAD BRIDGE,1985,8.25,6.341666667,34.66666667,2.241666667,,11.405,1.091666667,0.010625,0.005,0.302619018,8.375,5.625,,0.001416667,
SEPA North,LOCHY - A830 ROAD BRIDGE,1986,8.333333333,6.55,41.41666667,2.508333333,,11.77909091,0.991666667,0.015208333,0.001666667,0.472380907,9.625,8.108333333,,0.00225,
SEPA North,LOCHY - A830 ROAD BRIDGE,1987,8.225,6.616666667,37,1.991666667,,11.63083333,0.854545455,0.012666667,0.002166667,0.520357093,6.641666667,5.425,,0.002583333,
SEPA North,LOCHY - A830 ROAD BRIDGE,1988,9.683333333,6.708333333,34.25,1.133333333,,11.27166667,0.908333333,0.021416667,0.002458333,0.391190438,5.916666667,3.354545455,,0.006416667,
SEPA North,LOCHY - A830 ROAD BRIDGE,1989,9.441666667,6.408333333,40.75,0.55,,11.39333333,0.883333333,0.031375,0.002083333,0.428095197,8.545454545,5.175,,0.004333333,
SEPA North,LOCHY - A830 ROAD BRIDGE,1990,8.975,6.516666667,71.5,8.233333333,,10.86583333,1.091666667,0.00875,0.001958333,0.276785688,34.25,4.825,,0.004,
SEPA North,LOCHY - A830 ROAD BRIDGE,1991,8.658333333,6.583333333,38.58333333,1.7,,11.14916667,1.308333333,0.014166667,0.003,0.313690446,12.5,4.325,,0.002166667,
SEPA North,LOCHY - A830 ROAD BRIDGE,1992,7.95,6.625,33.08333333,2.3625,,11.09166667,1.3,0.027,0.002458333,0.254642833,7.958333333,7.008333333,,0.002083333,
SEPA North,LOCHY - A830 ROAD BRIDGE,1993,7.4375,6.433333333,42.33333333,1.079166667,,11.36666667,0.95,0.008166667,0.002958333,0.271249974,7.683333333,5.816666667,,0.002833333,
SEPA North,LOCHY - A830 ROAD BRIDGE,1994,7.85,6.3,39.4,1.01,,11.35,0.81,0.0341,0.00225,0.245785691,8.42,,,0,
SEPA North,LOCHY - A830 ROAD BRIDGE,1995,10.19166667,6.5,47.91666667,1.854166667,,10.82833333,0.975,0.049666667,0.005333333,0.306309494,7.7,,,0.004458333,
SEPA North,LOCHY - A830 ROAD BRIDGE,1996,8.8,6.6,42.91666667,1.6875,,11.47333333,1.020833333,0.010727273,0.001227273,0.328116851,9.408333333,,,0.005363636,
SEPA North,LOCHY - A830 ROAD BRIDGE,1997,8.975,6.8,41.4,1.0625,,11.72090909,1.108333333,0.008083333,0.001958333,0.223273788,9.244444444,,,0.00575,
SEPA North,LOCHY - A830 ROAD BRIDGE,2000,9.509090909,7.138,46.69090909,1.521818182,,11.06454545,0.683181818,0.018727273,0.001,0.812952778,6.727272727,5.111818182,,0.0021,
SEPA North,LOCHY - A830 ROAD BRIDGE,2001,9.258333333,6.975,37.09166667,4.6625,,11.53333333,0.515416667,0.013058333,0.0008,0.491755905,4.949166667,4.980909091,,0.003741667,
SEPA North,LOCHY - A830 ROAD BRIDGE,2002,8.172727273,6.952,51.90909091,1.771818182,,11.44181818,0.911363636,0.010818182,0.001181818,0.280811661,8.737,5.6,,0.002727273,
SEPA North,LOCHY - A830 ROAD BRIDGE,2003,8.925,6.951666667,46.05,1.3775,,11.30833333,0.5025,0.009041667,0.003166667,0.324392826,7.556363636,6.354166667,,0.008833333,
SEPA North,LOCHY - A830 ROAD BRIDGE,2004,8.65,6.8325,37.5,1.583333333,,10.915,0.519166667,0.004291667,0.002666667,0.379749963,6.574166667,5.5025,,0.008333333,
SEPA North,LOCHY - A830 ROAD BRIDGE,2005,9.236363636,7.023076923,42.07692308,1.461538462,,11.194,0.5,0.005318182,0.002833333,0.444870087,7.166666667,7.407692308,,0.004909091,
SEPA North,LOCHY - A830 ROAD BRIDGE,2006,9.516666667,7.0625,40.75833333,3.791666667,,11.43272727,0.535,0.005875,0.003083333,0.3893452,6.165,8.396666667,,0.008916667,
SEPA North,LOCHY - A830 ROAD BRIDGE,2007,10.05,7.055,39.6,1.625,,11.75454545,0.41,0.004818182,0.001454545,0.437321386,6.935833333,7.280833333,,0.010666667,
SEPA North,LOCHY - A830 ROAD BRIDGE,2008,10.50833333,7.054166667,40.64166667,1.375,,11.765,0.438333333,0.004444444,0.001666667,0.850285632,7.194444444,8.031666667,,0.008222222,
SEPA North,LOCHY - A830 ROAD BRIDGE,2009,,6.995,38,1.2,,11.81666667,0.635454545,0.00475,0.0034,0.42912853,7.201,7.195833333,,0.008,
SEPA North,LOCHY - A830 ROAD BRIDGE,2010,8.941666667,6.968181818,38.13636364,3.163636364,,11.89545455,0.607,0.00335,0.0022,0.474299954,6.563,7.418181818,,0.007,
SEPA North,LOCHY - A830 ROAD BRIDGE,2011,8.558333333,6.9225,34.11666667,2.282833333,,11.71181818,0.573,0.004416667,0.001416667,0.389311651,5.906666667,6.731666667,,0.004555556,
SEPA North,SPEY - FOCHABERS                     ,1980,11,7.466666667,79,1.333333333,,11.3,,0.02,0.006666667,1.874761723,10,26.66666667,,0.006666667,
SEPA North,SPEY - FOCHABERS                     ,1981,10.05,7.28,80.8,1.1,,11.27,,0.0275,0.006,1.518999853,10.9,27.7,,0.0093,
SEPA North,SPEY - FOCHABERS                     ,1982,8.75,6.45,73.125,2.6375,,11.1175,0.9,0.011625,0.01125,1.577678419,11.375,35,,0.01125,
SEPA North,SPEY - FOCHABERS                     ,1983,9.625,7.15,76.5,1.0125,,10.9625,0.7375,0.017625,0.0075,1.317499873,11.625,31.25,,0.008125,
SEPA North,SPEY - FOCHABERS                     ,1984,9.4375,7.15,69.875,7.2125,,11.54375,0.825,0.0275,0.01,1.987321236,8.875,23.75,,0.010625,
SEPA North,SPEY - FOCHABERS                     ,1985,8.714285714,6.928571429,67,10.78571429,,10.82142857,1.257142857,0.021714286,0.01,1.46775496,8.714285714,22.14285714,,0.009142857,
SEPA North,SPEY - FOCHABERS                     ,1986,9.409090909,7.166666667,73.58333333,2.666666667,,11.3,0.891666667,0.047166667,0.0055,1.132976081,10.75,26.08333333,,0.03325,0.019
SEPA North,SPEY - FOCHABERS                     ,1987,10.67647059,7.15625,74.6875,6.6,,11.53333333,0.917647059,0.046470588,0.007058824,1.500504056,8.705882353,26.52941176,,0.025588235,0.0685
SEPA North,SPEY - FOCHABERS                     ,1988,11.98387097,7.01875,70.75,2.31875,,10.86866667,0.975,0.036625,0.0045,1.538928423,7.875,19.3125,,0.013625,0.078125
SEPA North,SPEY - FOCHABERS                     ,1989,11.95714286,7.29,78.8,5.3,,12.348,0.84,0.0248,0.0042,1.129285605,9.5,18.8,,0.0111,0.105
SEPA North,SPEY - FOCHABERS                     ,1990,11.06060606,6.85,77.66666667,3.2,,11.60666667,0.85,0.016666667,0.006166667,1.121904653,9.166666667,17,,0.0075,
SEPA North,SPEY - FOCHABERS                     ,1991,11.37878788,6.528571429,83.71428571,2.728571429,,11.64,0.942857143,0.026285714,0.005857143,1.38551007,9.285714286,17.42857143,,0.013285714,
SEPA North,SPEY - FOCHABERS                     ,1992,9.846153846,6.141666667,84.66666667,2.433333333,,11.44666667,0.841666667,0.019791667,0.007333333,1.228928453,10,19.41666667,,0.011583333,
SEPA North,SPEY - FOCHABERS                     ,1993,10.14102564,6.166666667,94.83333333,1.683333333,,12.05333333,0.633333333,0.015583333,0.007125,1.553690326,11.89166667,21,,0.006333333,
SEPA North,SPEY - FOCHABERS                     ,1994,8.269230769,7.369230769,73.07692308,8.584615385,,11.73846154,0.9,0.022538462,0.006615385,1.345604265,10.17692308,15.76923077,,0.008153846,
SEPA North,SPEY - FOCHABERS                     ,1995,10.09090909,7.309090909,78.45454545,3.909090909,,11.70545455,0.863636364,0.015545455,0.00475,1.199740144,10.36363636,18.27272727,,0.005227273,
SEPA North,SPEY - FOCHABERS                     ,1996,8.541666667,7.358333333,86.25,20.25,,12.60916667,0.991666667,0.026545455,0.004333333,1.653333173,11.66666667,19.75,,0.015909091,
SEPA North,SPEY - FOCHABERS                     ,1997,9.791666667,7.35,80.25,69,,11.03333333,1.175,0.032416667,0.006583333,1.36363082,9.9,18.70833333,,0.015541667,
SEPA North,SPEY - FOCHABERS                     ,1998,9,7.45,77.24166667,2.166666667,,10.87666667,0.783333333,0.0175,0.005,1.782499828,9.083333333,17.58333333,1.916666667,0.008958333,
SEPA North,SPEY - FOCHABERS                     ,1999,9.272727273,7.363636364,78.90909091,2.545454545,,11.45454545,0.727272727,0.019090909,0.004363636,1.578181665,11.45454545,16.9,,0.012363636,
SEPA North,SPEY - FOCHABERS                     ,2000,9.55,7.315454545,78.36363636,11.63636364,,11.23272727,1.118181818,0.015,0.005666667,1.314565944,10,14.94545455,1,0.016227273,
SEPA North,SPEY - FOCHABERS                     ,2001,9.125,7.454166667,85.91666667,5.916666667,,11.6125,0.6875,0.013,0.00475,1.59280937,10.88333333,18.61541667,,0.011375,
SEPA North,SPEY - FOCHABERS                     ,2002,10.76315789,7.53,79.05263158,6.368421053,,11.50947368,0.749444444,0.010470588,0.004529412,1.257714164,11.29411765,17.69166667,,0.015352941,
SEPA North,SPEY - FOCHABERS                     ,2003,9.875,7.5712,95.016,3.32,,11.97833333,0.7125,0.017625,0.004809524,0.999835068,11.27777778,20.238,,0.018341667,
SEPA North,SPEY - FOCHABERS                     ,2004,9.708333333,7.327391304,76.625,5.458333333,,11.11416667,0.848333333,0.011875,0.0055,1.44685105,11.03333333,16.32217391,,0.023833333,
SEPA North,SPEY - FOCHABERS                     ,2005,8.775,7.508695652,88.60869565,3.595833333,,12.19565217,0.7,0.012261905,0.005047619,1.603142702,13.6,18.30869565,,0.02152381,
SEPA North,SPEY - FOCHABERS                     ,2006,10.40833333,7.585416667,88.38333333,1.9375,,11.76958333,0.758695652,0.009458333,0.002583333,1.280041543,11.68958333,19.61708333,,0.021416667,
SEPA North,SPEY - FOCHABERS                     ,2007,9.783333333,7.435416667,86.09583333,2.854166667,,11.53565217,0.708333333,0.009026087,0.003434783,1.485047475,12.42608696,18.88791667,,0.015130435,
SEPA North,SPEY - FOCHABERS                     ,2008,9.2125,7.377916667,79.525,3.083333333,,12.35708333,0.67375,0.010956522,0.003782609,1.343589932,12.14391304,16.94416667,,0.019913043,
SEPA North,SPEY - FOCHABERS                     ,2009,,7.392083333,80.37083333,13.25,,11.21052632,1.108695652,0.0114,0.004380952,1.230299201,12.65047619,17.69291667,,0.016263158,
SEPA North,SPEY - FOCHABERS                     ,2010,10.17894737,7.396,74.01,6.51,,10.92384615,0.897,0.006175,0.00225,1.164935602,10.233,17.6165,,0.01455,
SEPA North,SPEY - FOCHABERS                     ,2011,8.782352941,7.382941176,78.19411765,4.712125,,10.96,0.756470588,0.009,0.003,1.103756196,10.70117647,18.86411765,,0.01134375,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1980,9.75,7.275,100.2,8.272727273,,10.88333333,,0.077363636,,3.350952057,7.708333333,34.27272727,,0.010272727,
